un category,number of resolutions,link
HUMAN RIGHTS ADVANCEMENT,223,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=HUMAN%20RIGHTS%20ADVANCEMENT
UNRWA--ACTIVITIES,191,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=UNRWA--ACTIVITIES
DECOLONIZATION,121,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=DECOLONIZATION
HUMAN RIGHTS--REPORTS,99,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=HUMAN%20RIGHTS--REPORTS
APARTHEID,87,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=APARTHEID
SELF-DETERMINATION OF PEOPLES,74,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=SELF-DETERMINATION%20OF%20PEOPLES
INTERNATIONAL TRADE,44,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=INTERNATIONAL%20TRADE
LAW OF THE SEA,39,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=LAW%20OF%20THE%20SEA
DECOLONIZATION--UN SYSTEM,37,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=DECOLONIZATION--UN%20SYSTEM
SUSTAINABLE DEVELOPMENT,26,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=SUSTAINABLE%20DEVELOPMENT
HUMAN RIGHTS VIOLATIONS,17,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=HUMAN%20RIGHTS%20VIOLATIONS
UN. HUMAN RIGHTS COUNCIL--REPORTS,17,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=UN.%20HUMAN%20RIGHTS%20COUNCIL--REPORTS
ECONOMIC ASSISTANCE,10,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=ECONOMIC%20ASSISTANCE
GLOBALIZATION--INTERDEPENDENCE,6,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=GLOBALIZATION--INTERDEPENDENCE
DEVELOPMENT FINANCE,6,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=DEVELOPMENT%20FINANCE
ENVIRONMENT,5,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=ENVIRONMENT
ECONOMIC SANCTIONS--INTERNATIONAL RELATIONS,4,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=ECONOMIC%20SANCTIONS--INTERNATIONAL%20RELATIONS
HIV/AIDS--DECLARATIONS,2,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=HIV%2FAIDS--DECLARATIONS
HEALTH,2,https://digitallibrary.un.org/search?ln=en&cc=Voting%20Data&p=&f=&rm=&ln=en&sf=&so=d&rg=50&c=Voting%20Data&c=&of=hb&fti=0&fct__2=General%20Assembly&fct__9=Vote&fti=0&fct__2=General%20Assembly&fct__9=Vote&fct__8=HEALTH